epoch,train_loss,val_loss
1,1.0156475127866946,1.3630296481898958
2,0.6890548809428635,0.5579442662207871
3,0.6512513166193061,0.4534571861928226
4,0.633156031879716,0.4465946694702702
5,0.6210252126807029,0.4119575056561663
6,0.5950303125909314,0.40480166533485756
7,0.6141856881360744,0.399679972319759
8,0.5676548821604184,0.46556635036424626
9,0.567149637953747,0.437163577854999
10,0.5650208735873646,0.44392604571300537
11,0.5125813489156771,0.3539243979505235
12,0.5216676994197884,0.32630351987231243
13,0.5160904724390974,0.33780271302459186
14,0.5320702849355302,0.3518089172116087
15,0.5292951356209668,0.3647201991885718
16,0.4943420203539009,0.30862926373330607
17,0.49047965140574756,0.30762679332482545
18,0.4885505278452297,0.32556716314610284
19,0.4958354530758839,0.3021271684052754
20,0.495939210364297,0.305820948598575
21,0.4783782645413249,0.32483125311952915
22,0.4871700648830837,0.308589773827779
23,0.48440605741694853,0.3216108716643417
24,0.47265168189584345,0.2965309412384326
25,0.4718025621812315,0.2886366663474003
